problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
1031,Maximum Sum of Two Non-Overlapping Subarrays,Medium,60.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1035,Uncrossed Lines,Medium,65.2%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
1039,Minimum Score Triangulation of Polygon,Medium,67.4%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,non-representative / later refinement,heuristic-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
1043,Partition Array for Maximum Sum,Medium,77.3%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
1048,Longest String Chain,Medium,63.0%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
1049,Last Stone Weight II,Medium,59.7%,Misc / Title-Inferred DP,Subset sum feasibility / closest partition,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
1062,Longest Repeating Substring,Medium,63.4%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
1066,Campus Bikes II,Medium,55.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1067,Digit Count in Range,Hard,46.4%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
1092,Shortest Common Supersequence,Hard,61.9%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
1105,Filling Bookcase Shelves,Medium,68.6%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
1125,Smallest Sufficient Team,Hard,55.6%,Bitmask DP,Assignment / coverage bitmask DP,dp[mask] or dp[i][mask],choose next item/person/group to expand covered mask,increasing mask/popcount or item index,O(n) choices per mask,O(n*2^m) typical,O(2^m),top-down memo or bottom-up mask,precompute contribution; sparse masks,representative,heuristic-high,Bitmask over covered requirements or assigned entities.
1130,Minimum Cost Tree From Leaf Values,Medium,67.9%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
1137,N-th Tribonacci Number,Easy,63.2%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,representative,heuristic-high,Counting DP often uses finite automaton states.
1139,Largest 1-Bordered Square,Medium,52.1%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1140,Stone Game II,Medium,72.8%,Game DP / Minimax Boundary,Interval score-difference DP,dp[l][r] or dp[i] depending variant,choose left/right/split; maximize score difference,increasing interval length or reverse index,O(1) to O(n),O(n^2) to O(n^3),O(n^2) or optimized,bottom-up or memoized recursion,prefix sums; score difference; monotonic optimizations,representative,manual-high,Most Stone variants are interval/game DPs; verify exact recurrence per variant.
1143,Longest Common Subsequence,Medium,59.1%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
1147,Longest Chunked Palindrome Decomposition,Hard,58.9%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
1155,Number of Dice Rolls With Target Sum,Medium,62.3%,Misc / Title-Inferred DP,Signed subset sum transform,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1162,As Far from Land as Possible,Medium,52.3%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1182,Shortest Distance to Target Color,Medium,56.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1186,Maximum Subarray Sum with One Deletion,Medium,47.4%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
1187,Make Array Strictly Increasing,Hard,57.9%,Subsequence DP,Run/sequence local-global DP,dp[i] with last relation or previous choice,extend compatible previous state or restart,increasing i,O(1) to O(n),O(n) to O(n^2),O(1)/O(n),bottom-up,rolling local state; maps if relation-dependent,non-representative / later refinement,heuristic-medium,General sequence DP; refine per statement.
1191,K-Concatenation Maximum Sum,Medium,25.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1216,Valid Palindrome III,Hard,49.2%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
1218,Longest Arithmetic Subsequence of Given Difference,Medium,54.3%,LIS / Sequence Optimization,Arithmetic subsequence DP,dp[i][difference],extend previous subsequence with same difference,increasing i,O(i) previous choices,O(n^2),O(n^2),bottom-up with maps,hashmap by difference,representative,manual-high,"State requires value difference, not just index."
1220,Count Vowels Permutation,Hard,61.3%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1223,Dice Roll Simulation,Hard,50.8%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1227,Airplane Seat Assignment Probability,Medium,67.4%,Probability DP,Distribution / expectation DP,dp[state] probability of state/event,sum weighted probabilities from transitions,by steps or reachable state order,branching factor,state_count * branching,state_count,bottom-up or memo,prefix sums for range probabilities,representative,manual-high,"Same recurrence structure as counting DP, but aggregation is weighted sum."
1230,Toss Strange Coins,Medium,58.1%,Probability DP,Distribution / expectation DP,dp[state] probability of state/event,sum weighted probabilities from transitions,by steps or reachable state order,branching factor,state_count * branching,state_count,bottom-up or memo,prefix sums for range probabilities,representative,manual-high,"Same recurrence structure as counting DP, but aggregation is weighted sum."
1235,Maximum Profit in Job Scheduling,Hard,54.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1246,Palindrome Removal,Hard,46.2%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
1255,Maximum Score Words Formed by Letters,Hard,81.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1259,Handshakes That Don't Cross,Hard,59.9%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1262,Greatest Sum Divisible by Three,Medium,57.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1269,Number of Ways to Stay in the Same Place After Some Steps,Hard,50.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1277,Count Square Submatrices with All Ones,Medium,80.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1278,Palindrome Partitioning III,Hard,62.2%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
1289,Minimum Falling Path Sum II,Hard,63.1%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1301,Number of Paths with Max Score,Hard,42.4%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1312,Minimum Insertion Steps to Make a String Palindrome,Hard,73.9%,Palindrome / Subsequence DP,Palindrome subsequence interval DP,dp[l][r],if ends match use inner; else drop one end,increasing interval length,O(1),O(n^2),O(n^2),bottom-up by length,rolling diagonals sometimes,representative,manual-high,Subsequence interval DP; not center expansion.
1320,Minimum Distance to Type a Word Using Two Fingers,Hard,72.3%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1326,Minimum Number of Taps to Open to Water a Garden,Hard,51.0%,Graph-as-DP / DAG DP,Reachability/path DP over implicit graph,dp[state],transition over legal moves,topological if acyclic; otherwise BFS/Dijkstra/memo,degree-dependent,state_count * degree,state_count,depends,memoization; shortest path algorithms,non-representative / later refinement,heuristic-medium,Implicit graph may not be a DAG; verify cycles.
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,72.7%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1335,Minimum Difficulty of a Job Schedule,Hard,59.8%,Weighted Interval / Scheduling DP,Sorted intervals + previous compatible index,dp[i] best using first i jobs/events,take current + dp[p(i)] or skip,increasing sorted end/start,O(log n) for p(i),O(n log n),O(n),bottom-up,binary search previous compatible; heap alternative,non-representative / later refinement,heuristic-high,Greedy interval scheduling becomes DP when weights/profits matter.
1340,Jump Game V,Hard,65.0%,Greedy-DP Boundary,Jump frontier / reachability DP boundary,reachable index or dp[i] min jumps/score,extend reachable frontier or choose best previous jump,left-to-right or graph order,varies,O(n) greedy to O(n log n)/O(nk) DP,varies,greedy if frontier monotone; DP if scores/constraints,"frontier, BFS layers, deque",representative,manual-high,"Jump series crosses greedy, DP, deque DP, and graph interpretations."
1349,Maximum Students Taking Exam,Hard,53.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
1359,Count All Valid Pickup and Delivery Options,Hard,64.9%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1363,Largest Multiple of Three,Hard,33.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1372,Longest ZigZag Path in a Binary Tree,Medium,67.1%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
1373,Maximum Sum BST in Binary Tree,Hard,47.2%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
1387,Sort Integers by The Power Value,Medium,71.7%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1388,Pizza With 3n Slices,Hard,53.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1395,Count Number of Teams,Medium,70.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1397,Find All Good Strings,Hard,45.4%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
1402,Reducing Dishes,Hard,76.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1406,Stone Game III,Hard,63.3%,Game DP / Minimax Boundary,Interval score-difference DP,dp[l][r] or dp[i] depending variant,choose left/right/split; maximize score difference,increasing interval length or reverse index,O(1) to O(n),O(n^2) to O(n^3),O(n^2) or optimized,bottom-up or memoized recursion,prefix sums; score difference; monotonic optimizations,representative,manual-high,Most Stone variants are interval/game DPs; verify exact recurrence per variant.
1411,Number of Ways to Paint N × 3 Grid,Hard,80.5%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1416,Restore The Array,Hard,46.7%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,Hard,65.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1425,Constrained Subsequence Sum,Hard,56.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1434,Number of Ways to Wear Different Hats to Each Other,Hard,46.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
1444,Number of Ways of Cutting a Pizza,Hard,61.6%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
1449,Form Largest Integer With Digits That Add up to Target,Hard,49.6%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,non-representative / later refinement,heuristic-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
1458,Max Dot Product of Two Subsequences,Hard,69.3%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,representative,manual-high,Product state space of two sequence positions.
1463,Cherry Pickup II,Hard,72.4%,Grid DP,Multi-agent grid DP,dp[row][col1][col2] or equivalent,advance both agents simultaneously,row by row / step count,O(9) transitions,O(rows*cols^2),O(cols^2),bottom-up or memoized DFS,rolling layers; symmetry pruning,representative,manual-high,Two walkers are synchronized by step/row to avoid exponential paths.
1467,Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard,61.2%,Probability DP,Distribution / expectation DP,dp[state] probability of state/event,sum weighted probabilities from transitions,by steps or reachable state order,branching factor,state_count * branching,state_count,bottom-up or memo,prefix sums for range probabilities,representative,manual-high,"Same recurrence structure as counting DP, but aggregation is weighted sum."
1473,Paint House III,Hard,61.2%,1D Prefix/Suffix DP,Color-state rolling DP,dp[i][color],choose color different from previous; min cost,increasing house index,O(colors^2) or optimized O(colors),O(n*colors),O(colors),bottom-up,track min/second-min for Paint House II,representative,manual-high,State axis is previous/current color.
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,Medium,36.9%,Misc / Title-Inferred DP,Signed subset sum transform,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1478,Allocate Mailboxes,Hard,56.6%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
1483,Kth Ancestor of a Tree Node,Hard,37.5%,Tree DP,Binary lifting / ancestor DP,up[node][k],2^k ancestor from two 2^(k-1) jumps,increasing k after DFS/BFS parent pass,O(1),"O(n log n) build, O(log n) query",O(n log n),precompute table,binary lifting,non-representative / later refinement,heuristic-high,"This is DP over jump length, not path optimization."
1493,Longest Subarray of 1's After Deleting One Element,Medium,71.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1494,Parallel Courses II,Hard,30.9%,Graph-as-DP / DAG DP,Course prerequisite DAG DP,dp[course] or topological level/state,combine predecessor completion times / choose subset,topological order or bitmask semesters,degree/subset-dependent,O(V+E) or exponential for subset scheduling,varies,topological DP or bitmask DP,toposort; bitmask if parallel constraints,representative,heuristic-high,"If prerequisites form DAG, topo order gives DP order."
1504,Count Submatrices With All Ones,Medium,71.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1510,Stone Game IV,Hard,59.6%,Game DP / Minimax Boundary,Interval score-difference DP,dp[l][r] or dp[i] depending variant,choose left/right/split; maximize score difference,increasing interval length or reverse index,O(1) to O(n),O(n^2) to O(n^3),O(n^2) or optimized,bottom-up or memoized recursion,prefix sums; score difference; monotonic optimizations,representative,manual-high,Most Stone variants are interval/game DPs; verify exact recurrence per variant.
1524,Number of Sub-arrays With Odd Sum,Medium,55.7%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
1525,Number of Good Ways to Split a String,Medium,68.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1526,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1531,String Compression II,Hard,52.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1537,Get the Maximum Score,Hard,41.1%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1547,Minimum Cost to Cut a Stick,Hard,63.0%,Interval DP,Split-point interval DP,dp[l][r] over interval,choose split/boundary action k,increasing interval length,O(n) split choices,O(n^3) typical,O(n^2),bottom-up by interval length or top-down memo,prefix sums; augmented boundaries; Knuth/monotone if valid,non-representative / later refinement,heuristic-high,"Classic interval DP: if both prefix and suffix seem needed, use intervals."
1548,The Most Similar Path in a Graph,Hard,59.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,representative,heuristic-low,Classification inferred from title only; refine when expanding family.
