problem_id,title,difficulty,acceptance_percent,leetcode_url,primary_family,subfamily,canonical_reduction,primary_primitives,proof_style,approach_kind,series_or_ladder,practice_priority,notes_traps,classification_confidence
1529,Minimum Suffix Flips,Medium,73.9,https://leetcode.com/problems/minimum-suffix-flips/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1536,Minimum Swaps to Arrange a Binary Grid,Medium,70.1,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
1537,Get the Maximum Score,Hard,41.1,https://leetcode.com/problems/get-the-maximum-score/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
1541,Minimum Insertions to Balance a Parentheses String,Medium,53.5,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,Parentheses / balance greedy,Balance repair or wildcard feasibility,Track open balance or feasible open range and repair deficits locally.,running balance; min/max open range; insertion/deletion repair,balance invariant / feasibility interval,pure greedy,Parentheses,Medium,Review exact statement; this row is inferred from title.,heuristic
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,48.9,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/,Interval / coverage / scheduling,"Intervals, deadlines, coverage, or active-set scheduling","Sort by endpoint/start/deadline, then keep earliest finish, expand coverage, or use an active heap.",sort by endpoint; coverage frontier; active interval heap; deadline first,exchange / stays-ahead / sweep invariant,"greedy, greedy + heap, or binary search + greedy",Interval / scheduling / coverage,Medium,Review exact statement; this row is inferred from title.,heuristic
1558,Minimum Numbers of Function Calls to Make Target Array,Medium,62.8,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
1561,Maximum Number of Coins You Can Get,Medium,84.8,https://leetcode.com/problems/maximum-number-of-coins-you-can-get/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1564,Put Boxes Into the Warehouse I,Medium,67.5,https://leetcode.com/problems/put-boxes-into-the-warehouse-i/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1567,Maximum Length of Subarray With Positive Product,Medium,44.7,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid / DP-boundary,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
1578,Minimum Time to Make Rope Colorful,Medium,65.2,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1580,Put Boxes Into the Warehouse II,Medium,65.9,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1585,Check If String Is Transformable With Substring Sort Operations,Hard,51.6,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,High,Review exact statement; this row is inferred from title.,heuristic
1589,Maximum Sum Obtained of Any Permutation,Medium,40.8,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title.,heuristic
1605,Find Valid Matrix Given Row and Column Sums,Medium,82.6,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
1642,Furthest Building You Can Reach,Medium,50.9,https://leetcode.com/problems/furthest-building-you-can-reach/,Heap greedy / resource allocation,Furthest Building You Can Reach,Use ladders on largest climbs; bricks on smaller climbs via heap replacement.,min-heap climbs; replace bricks with ladder,exchange argument,greedy + heap,Heap-greedy,Very High,"Equivalent: spend bricks, reclaim largest climbs with ladders.",manual-high
1647,Minimum Deletions to Make Character Frequencies Unique,Medium,61.5,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1648,Sell Diminishing-Valued Colored Balls,Medium,30.2,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,Heap greedy / deferred choice,"Choose best available, marginal gain, or replacement candidate","Sort/unlock candidates, then use heap to choose best currently available or replace worst selected.",available candidates heap; max marginal gain; replacement heap; bottleneck threshold,deferred greedy / exchange / threshold,greedy + heap,Heap-greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1663,Smallest String With A Given Numeric Value,Medium,67.4,https://leetcode.com/problems/smallest-string-with-a-given-numeric-value/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1665,Minimum Initial Energy to Finish Tasks,Hard,60.9,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/,Interval / coverage / scheduling,"Intervals, deadlines, coverage, or active-set scheduling","Sort by endpoint/start/deadline, then keep earliest finish, expand coverage, or use an active heap.",sort by endpoint; coverage frontier; active interval heap; deadline first,exchange / stays-ahead / sweep invariant,"greedy, greedy + heap, or binary search + greedy",Interval / scheduling / coverage,High,Review exact statement; this row is inferred from title.,heuristic
1671,Minimum Number of Removals to Make Mountain Array,Hard,54.8,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary / DP-boundary,Array partition/transformation,High,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
1673,Find the Most Competitive Subsequence,Medium,53.0,https://leetcode.com/problems/find-the-most-competitive-subsequence/,Lexicographic monotonic stack,Most Competitive Subsequence,Build smallest length-k subsequence by popping larger previous values if enough elements remain.,monotonic stack; remaining capacity; length constraint,exchange / feasibility,greedy + monotonic stack,Lexicographic deletion,Very High,Pop only if enough remaining elements can still fill k.,manual-high
1675,Minimize Deviation in Array,Hard,54.0,https://leetcode.com/problems/minimize-deviation-in-array/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,High,Review exact statement; this row is inferred from title.,heuristic
1686,Stone Game VI,Medium,60.6,https://leetcode.com/problems/stone-game-vi/,Game scoring greedy,Stone Game VI,Sort stones by total value to both players; alternate picks.,delta/combined value sorting; turn scoring,game exchange,game-theoretic greedy,Stone Game,High,"Sort by alice[i]+bob[i], not Alice value alone.",manual-high
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,Medium,90.5,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
1702,Maximum Binary String After Change,Medium,47.6,https://leetcode.com/problems/maximum-binary-string-after-change/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1703,Minimum Adjacent Swaps for K Consecutive Ones,Hard,42.2,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
1705,Maximum Number of Eaten Apples,Medium,43.2,https://leetcode.com/problems/maximum-number-of-eaten-apples/,Deadline scheduling,Maximum Number of Eaten Apples,Each day eat apple with earliest expiry among available batches.,min-heap by expiry; active resources,earliest deadline first,greedy + heap,Scheduling / perishables,High,Remove rotten batches before eating.,manual-high
1708,Largest Subarray Length K,Easy,65.8,https://leetcode.com/problems/largest-subarray-length-k/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Low,Review exact statement; this row is inferred from title.,heuristic
1710,Maximum Units on a Truck,Easy,74.8,https://leetcode.com/problems/maximum-units-on-a-truck/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Low,Review exact statement; this row is inferred from title.,heuristic
1713,Minimum Operations to Make a Subsequence,Hard,49.7,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary / DP-boundary,Array partition/transformation,High,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
1717,Maximum Score From Removing Substrings,Medium,66.5,https://leetcode.com/problems/maximum-score-from-removing-substrings/,Interval / coverage / scheduling,"Intervals, deadlines, coverage, or active-set scheduling","Sort by endpoint/start/deadline, then keep earliest finish, expand coverage, or use an active heap.",sort by endpoint; coverage frontier; active interval heap; deadline first,exchange / stays-ahead / sweep invariant,"greedy, greedy + heap, or binary search + greedy",Interval / scheduling / coverage,Medium,Review exact statement; this row is inferred from title.,heuristic
1727,Largest Submatrix With Rearrangements,Medium,80.2,https://leetcode.com/problems/largest-submatrix-with-rearrangements/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
1733,Minimum Number of People to Teach,Medium,67.4,https://leetcode.com/problems/minimum-number-of-people-to-teach/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1736,Latest Time by Replacing Hidden Digits,Easy,43.8,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Low,Review exact statement; this row is inferred from title.,heuristic
1739,Building Boxes,Hard,52.3,https://leetcode.com/problems/building-boxes/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
1753,Maximum Score From Removing Stones,Medium,68.5,https://leetcode.com/problems/maximum-score-from-removing-stones/,Game theory / resource removal,Stone/removal game or heap reduction,"Either sort by combined value for alternating picks, reason by residues/parity, or repeatedly reduce largest pile.",game scoring; residue counts; max-heap reduction,game invariant / exchange / marginal reduction,game theory or heap greedy,Stone Game / stones,Medium,Review exact statement; this row is inferred from title.,heuristic
1754,Largest Merge Of Two Strings,Medium,53.9,https://leetcode.com/problems/largest-merge-of-two-strings/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1764,Form Array by Concatenating Subarrays of Another Array,Medium,54.8,https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
1775,Equal Sum Arrays With Minimum Number of Operations,Medium,54.5,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1785,Minimum Elements to Add to Form a Given Sum,Medium,45.1,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title.,heuristic
1788,Maximize the Beauty of the Garden,Hard,64.9,https://leetcode.com/problems/maximize-the-beauty-of-the-garden/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,High,Review exact statement; this row is inferred from title.,heuristic
1792,Maximum Average Pass Ratio,Medium,74.1,https://leetcode.com/problems/maximum-average-pass-ratio/,Marginal gain heap,Maximum Average Pass Ratio,Repeatedly assign extra student to class with largest marginal pass-ratio gain.,max-heap marginal gain; update gain,diminishing returns,greedy + heap,Heap-greedy / marginal,Very High,The marginal gain changes after each assignment.,manual-high
1794,Count Pairs of Equal Substrings With Minimum Difference,Medium,64.1,https://leetcode.com/problems/count-pairs-of-equal-substrings-with-minimum-difference/,Interval / coverage / scheduling,"Intervals, deadlines, coverage, or active-set scheduling","Sort by endpoint/start/deadline, then keep earliest finish, expand coverage, or use an active heap.",sort by endpoint; coverage frontier; active interval heap; deadline first,exchange / stays-ahead / sweep invariant,"greedy, greedy + heap, or binary search + greedy",Interval / scheduling / coverage,Medium,Review exact statement; this row is inferred from title.,heuristic
1798,Maximum Number of Consecutive Values You Can Make,Medium,64.0,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make/,Coverage / patching,Maximum Number of Consecutive Values You Can Make,"Sort coins; maintain [0, reach] constructible; coin <= reach+1 extends.",coverage frontier; smallest missing value,stays-ahead,pure greedy,Coverage / patching,Very High,Same invariant as patching array.,manual-high
1802,Maximum Value at a Given Index in a Bounded Array,Medium,38.9,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array/,Binary search + greedy feasibility,Monotone answer with greedy check,Binary search the answer; greedily verify feasibility under candidate value.,feasibility predicate; monotone answer; sorted greedy check; prefix/range update,feasibility monotonicity,binary search + greedy,Binary search on answer,Medium,Review exact statement; this row is inferred from title.,heuristic
1824,Minimum Sideway Jumps,Medium,51.6,https://leetcode.com/problems/minimum-sideway-jumps/,Jump / reachability frontier,Reachability or minimum jumps,"Maintain a frontier of reachable positions, or binary-search/DP when constraints change.",reachable frontier; farthest extension; current layer boundary,stays-ahead / feasibility monotonicity,greedy frontier or hybrid / DP-boundary,Jump Game,Medium,Review exact statement; this row is inferred from title. Greedy tag may be misleading; compare against DP/game formulation.,heuristic
1827,Minimum Operations to Make the Array Increasing,Easy,82.0,https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Low,Review exact statement; this row is inferred from title.,heuristic
1833,Maximum Ice Cream Bars,Medium,74.3,https://leetcode.com/problems/maximum-ice-cream-bars/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1838,Frequency of the Most Frequent Element,Medium,44.8,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1846,Maximum Element After Decreasing and Rearranging,Medium,65.7,https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title.,heuristic
1850,Minimum Adjacent Swaps to Reach the Kth Smallest Number,Medium,71.8,https://leetcode.com/problems/minimum-adjacent-swaps-to-reach-the-kth-smallest-number/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1864,Minimum Number of Swaps to Make the Binary String Alternating,Medium,43.9,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-binary-string-alternating/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,Medium,Review exact statement; this row is inferred from title.,heuristic
1874,Minimize Product Sum of Two Arrays,Medium,89.9,https://leetcode.com/problems/minimize-product-sum-of-two-arrays/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1877,Minimize Maximum Pair Sum in Array,Medium,83.3,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array/,Pairing / matching / delta sorting,"Pair extremes, smallest sufficient match, or opportunity-cost sorting","Sort both sides; match smallest sufficient resource, pair extremes, or choose top deltas.",two pointers; pair extremes; smallest sufficient resource; delta sorting,exchange argument,pure greedy + sorting/two pointers,Pairing / matching,Medium,Review exact statement; this row is inferred from title.,heuristic
1881,Maximum Value after Insertion,Medium,39.4,https://leetcode.com/problems/maximum-value-after-insertion/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1899,Merge Triplets to Form Target Triplet,Medium,69.0,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1903,Largest Odd Number in String,Easy,67.4,https://leetcode.com/problems/largest-odd-number-in-string/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,Low,Review exact statement; this row is inferred from title.,heuristic
1921,Eliminate Maximum Number of Monsters,Medium,51.1,https://leetcode.com/problems/eliminate-maximum-number-of-monsters/,Deadline ordering,Eliminate Maximum Number of Monsters,Compute arrival deadlines; kill in increasing deadline order.,sort deadlines; one action per time,earliest deadline first,pure greedy,Scheduling,High,"If deadline <= current minute, fail.",manual-high
1927,Sum Game,Medium,49.3,https://leetcode.com/problems/sum-game/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title.,heuristic
1936,Add Minimum Number of Rungs,Medium,44.0,https://leetcode.com/problems/add-minimum-number-of-rungs/,Jump / reachability frontier,Reachability or minimum jumps,"Maintain a frontier of reachable positions, or binary-search/DP when constraints change.",reachable frontier; farthest extension; current layer boundary,stays-ahead / feasibility monotonicity,greedy frontier or hybrid,Jump Game,Medium,Review exact statement; this row is inferred from title.,heuristic
1946,Largest Number After Mutating Substring,Medium,38.1,https://leetcode.com/problems/largest-number-after-mutating-substring/,Lexicographic / monotonic construction,"Smallest/largest string, number, or subsequence","Use monotonic stack, comparator sorting, or constructive scan to preserve feasibility while improving lexicographic order.",monotonic stack; remaining counts; used set; comparator sorting; deletion budget,exchange + feasibility preservation,greedy + monotonic stack / sorting,Lexicographic Greedy,Medium,Review exact statement; this row is inferred from title.,heuristic
1953,Maximum Number of Weeks for Which You Can Work,Medium,42.5,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work/,Sorting / choice greedy,General greedy ordering,Sort or scan candidates and apply a locally safe choice/dominance rule.,sorted candidate stream; local safe choice; dominance skip,exchange / dominance,pure greedy or sorting greedy,,Medium,Review exact statement; this row is inferred from title.,heuristic
1962,Remove Stones to Minimize the Total,Medium,65.7,https://leetcode.com/problems/remove-stones-to-minimize-the-total/,Game theory / resource removal,Stone/removal game or heap reduction,"Either sort by combined value for alternating picks, reason by residues/parity, or repeatedly reduce largest pile.",game scoring; residue counts; max-heap reduction,game invariant / exchange / marginal reduction,game theory or heap greedy,Stone Game / stones,Medium,Review exact statement; this row is inferred from title.,heuristic
1963,Minimum Number of Swaps to Make the String Balanced,Medium,78.0,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,Medium,Review exact statement; this row is inferred from title.,heuristic
1968,Array With Elements Not Equal to Average of Neighbors,Medium,50.7,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/,Array transformation / partition greedy,"Prefix/suffix repair, partitioning, or subsequence choice","Scan with prefix/suffix state, repair violations, or greedily partition when invariant boundary is met.",prefix/suffix state; local repair; partition boundary; monotonic subsequence,stays-ahead / exchange / local feasibility,greedy or greedy-DP boundary,Array partition/transformation,Medium,Review exact statement; this row is inferred from title.,heuristic
1969,Minimum Non-Zero Product of the Array Elements,Medium,37.6,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements/,Numeric / bitwise greedy,"Digit, bit, residue, or marginal numeric optimization",Use residue/bit contribution or marginal gains to maximize/minimize numeric objective.,bit contribution; residue counts; marginal gain; digit replacement,exchange / contribution dominance / invariant,numeric greedy / bit greedy / hybrid,Numeric / bitwise,Medium,Review exact statement; this row is inferred from title.,heuristic
1974,Minimum Time to Type Word Using Special Typewriter,Easy,78.7,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/,Frequency / counting / string construction,"Counts, buckets, cooldown, or repeat limits",Use counts to construct a feasible/maximal object while preserving future availability.,frequency map; bucket ordering; cooldown; repeat-limit breaker; remaining demand,exchange / feasibility preservation,greedy + counting/heap,Frequency/String,Low,Review exact statement; this row is inferred from title.,heuristic
1975,Maximum Matrix Sum,Medium,67.5,https://leetcode.com/problems/maximum-matrix-sum/,Constructive matrix/tree/graph greedy,Structural construction or assignment,Use local degree/row/column/path constraints to construct or maximize under structural invariants.,degree sorting; row/column residuals; local repair; structural invariant,exchange / invariant construction,constructive greedy / hybrid,Constructive structures,Medium,Review exact statement; this row is inferred from title.,heuristic
